path	type	strategy	rel_file_path	timestamp	dirty	build	touch_build	node_x	node_y	node_color
/project1/externalizations	table	tsv	project1/externalizations.tsv	2026-07-25 00:51:09 UTC				-650	650	0.9000,0.3000,0.4000
/project1/WebGuiServer	base	tdn	project1/WebGuiServer.tdn	2026-07-27 13:14:29 UTC		1	099.2025.33070	-500	0	0.3000,0.5000,0.9000
